model,train_time,epochs,test_top1_pct,test_top3_pct,test_top5_pct,test_top13_pct,test_apl_db,profile_mae_db,profile_rank_corr,crc_miss_pct,crc_avg_size,aci_miss_pct,aci_avg_size,aci_eta
B1,00h:02m:28s,20,1.14,13.62,22.29,32.86,18.21,33.5,0.011,3.45,154.8,6.84,97.5,0.05
B3,00h:05m:14s,20,0.43,5.16,20.18,61.33,17.67,34.88,0.149,44.46,7.2,10.54,21.3,0.05
P1,00h:05m:11s,20,0.54,7.89,20.66,60.59,17.51,34.89,0.15,44.37,7.2,10.34,21.1,0.05
P3,00h:05m:21s,20,1.94,5.98,8.06,21.69,17.44,3.87,-0.061,62.18,118.9,13.22,195.1,0.1
